Time,G1Average,G2Average,G3Average
0.0,0.10320877053095523,0.3323104209454495,1.2403943591216833
0.27,3.4704061247084352,0.5292744659250772,1.5983021547045684
1.04,0.8324889677354483,1.2886679048171201,5.7077308303211085
1.2,1.3473980199704247,1.327391640252399,5.792199568045271
1.37,1.044138098340353,1.3874790380913231,5.735306342581899
1.62,1.0308763852693166,1.4298880268492982,5.923955665810519
1.83,1.02204884017907,1.5036736684270058,5.783492200197839
2.16,1.0050995961339837,1.50235737136521,6.231185835750223
2.41,0.999169076741213,1.462812136315916,6.155225492636767
2.72,1.004371410104777,1.4547306607519834,6.224080955970645
2.9,1.007488981940116,1.4598166639749153,6.059398936056543
3.1,1.0089905192339736,1.450900413447961,6.169044987011669
3.25,1.0056146565644928,1.4549621259978425,6.322963795945888
