Time,G1TAverage,G2TAverage,G3TAverage
0.0,22.641,22.543,12.315
0.27,78.468,47.61,11.215
1.04,81.51,72.247,19.423
1.2,86.021,72.46,19.515
1.37,85.342,74.116,19.82
1.62,86.142,74.951,20.093
1.83,86.598,75.44,19.965
2.16,86.871,75.81,18.201
2.41,86.902,75.813,18.164
2.72,86.957,75.745,18.429
2.9,86.961,75.716,18.559
3.1,86.949,75.715,18.465
3.25,86.875,75.668,18.029
